"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2021)","At 04:00 on Saturday,Week 5 of Mar (9999)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 3 of Oct (0001)","At 04:00 on Saturday,Week 2 of Mar (2008)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 3 of Oct (2009)","At 04:00 on Saturday,Week 1 of Mar (2009)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 5 of Sep (2017)","At 04:00 on Saturday,Week 5 of Mar (2017)","01:00:00"
"America/Atikokan","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Bahia","(UTC-03:00) Salvador","At 03:00 on Saturday,Week 3 of Oct (2011)","At 04:00 on Saturday,Week 1 of Jan (2011)","01:00:00"
"America/Bahia","(UTC-03:00) Salvador","At 03:00 on Sunday,Week 1 of Jan (2012)","At 04:00 on Saturday,Week 4 of Feb (2012)","01:00:00"
"America/Bahia_Banderas","(UTC-06:00) Guadalajara, Mexico City, Monterrey","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Barbados","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Belem","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Belize","(UTC-06:00) Central America",,,
"America/Blanc-Sablon","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Boa_Vista","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Bogota","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Boise","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Boise","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Cambridge_Bay","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Cambridge_Bay","(UTC-07:00) Mountain Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 1 of Nov (2018)","At 04:00 on Saturday,Week 3 of Feb (2018)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 2 of Oct (2017)","At 04:00 on Saturday,Week 3 of Feb (2017)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2009)","At 04:00 on Saturday,Week 2 of Feb (2009)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2010)","At 04:00 on Saturday,Week 3 of Feb (2010)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2011)","At 04:00 on Saturday,Week 3 of Feb (2011)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2012)","At 04:00 on Saturday,Week 4 of Feb (2012)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2013)","At 04:00 on Saturday,Week 3 of Feb (2013)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2014)","At 04:00 on Saturday,Week 3 of Feb (2014)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2015)","At 04:00 on Saturday,Week 3 of Feb (2015)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 3 of Oct (2016)","At 04:00 on Saturday,Week 3 of Feb (2016)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 1 of Nov (2006)","At 04:00 on Saturday,Week 3 of Feb (2006)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 2 of Oct (2007)","At 04:00 on Saturday,Week 5 of Feb (2007)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 3 of Oct (2005)","At 04:00 on Saturday,Week 3 of Feb (2005)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Sunday,Week 3 of Oct (2008)","At 04:00 on Saturday,Week 3 of Feb (2008)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Tuesday,Week 1 of Jan (2019)","At 04:00 on Sunday,Week 3 of Feb (2019)","01:00:00"
"America/Campo_Grande","(UTC-04:00) Cuiaba","At 03:00 on Tuesday,Week 1 of Nov (0001)","At 04:00 on Thursday,Week 1 of Jan (2004)","01:00:00"
"America/Cancun","(UTC-05:00) Chetumal","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2014)","01:00:00"
"America/Cancun","(UTC-05:00) Chetumal","At 03:00 on Sunday,Week 1 of Feb (2015)","At 04:00 on Thursday,Week 1 of Jan (2015)","01:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Friday,Week 1 of Jan (2016)","At 04:00 on Sunday,Week 1 of May (2016)","-00:30:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Monday,Week 1 of Jan (2007)","At 04:00 on Sunday,Week 2 of Dec (2007)","00:30:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2008)","At 04:00 on Sunday,Week 1 of Jan (2008)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2009)","At 04:00 on Sunday,Week 1 of Jan (2009)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2010)","At 04:00 on Sunday,Week 1 of Jan (2010)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2011)","At 04:00 on Sunday,Week 1 of Jan (2011)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2012)","At 04:00 on Sunday,Week 1 of Jan (2012)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2013)","At 04:00 on Sunday,Week 1 of Jan (2013)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2014)","At 04:00 on Sunday,Week 1 of Jan (2014)","00:00:00"
"America/Caracas","(UTC-04:00) Caracas","At 03:00 on Sunday,Week 1 of Jan (2015)","At 04:00 on Sunday,Week 1 of Jan (2015)","00:00:00"
"America/Cayenne","(UTC-03:00) Cayenne, Fortaleza",,,
"America/Cayman","(UTC-05:00) Bogota, Lima, Quito, Rio Branco",,,
"America/Chicago","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (2006)","01:00:00"
"America/Chicago","(UTC-06:00) Central Time (US & Canada)","At 03:00 on Sunday,Week 2 of Mar (2007)","At 04:00 on Sunday,Week 1 of Nov (9999)","01:00:00"
"America/Chihuahua","(UTC-07:00) Chihuahua, La Paz, Mazatlan","At 03:00 on Sunday,Week 1 of Apr (0001)","At 04:00 on Sunday,Week 5 of Oct (9999)","01:00:00"
"America/Costa_Rica","(UTC-06:00) Central America",,,
"America/Creston","(UTC-07:00) Arizona",,,
"America/Cuiaba","(UTC-04:00) Cuiaba","At 03:00 on Saturday,Week 1 of Nov (2018)","At 04:00 on Saturday,Week 3 of Feb (2018)","01:00:00"
